code,name,desc,date
600529,山东药玻,接近前低23.7476/23.7252/24.0/24.0,20250219
600585,海螺水泥,接近前低23.0/23.25,20250219
002918,蒙娜丽莎,接近前低9.2338,20250219
600486,扬农化工,接近前低52.42/53.0,20250219
600600,青岛啤酒,接近前低69.15,20250219
601015,陕西黑猫,接近前低3.01/3.02,20250220
600750,江中药业,接近前低21.42,20250220
600420,国药现代,接近前低11.2481,20250220
600511,国药股份,接近前低30.97,20250220
002353,杰瑞股份,接近前低35.25,20250217
002959,小熊电器,接近前低42.47/41.65,20250220
002422,科伦药业,接近前低27.1,20250217
600584,长电科技,接近前低38.8,20250220
600529,山东药玻,接近前低24.0/24.0,20250220
600702,舍得酒业,接近前低55.08,20250220
600585,海螺水泥,接近前低22.8588/23.0/23.25,20250220
600305,恒顺醋业,接近前低7.37,20250220
600486,扬农化工,接近前低52.42,20250220
600600,青岛啤酒,接近前低69.15,20250220
601015,陕西黑猫,接近前低3.02,20250221
600750,江中药业,接近前低21.1264/21.1645,20250221
600420,国药现代,接近前低11.2481,20250221
600511,国药股份,接近前低29.87,20250221
002353,杰瑞股份,接近前低35.25,20250217
600707,彩虹股份,接近前低7.92,20250221
002422,科伦药业,接近前低27.1,20250217
600529,山东药玻,接近前低24.0/24.0,20250221
600305,恒顺醋业,接近前低7.37,20250221
002918,蒙娜丽莎,接近前低9.2338,20250221
600486,扬农化工,接近前低51.6197/51.7/52.42,20250221
600600,青岛啤酒,接近前低67.01,20250221
601015,陕西黑猫,接近前低3.02,20250221
600750,江中药业,接近前低21.1264/21.1645,20250221
600420,国药现代,接近前低11.2481,20250221
600511,国药股份,接近前低29.87,20250221
002353,杰瑞股份,接近前低35.25,20250217
600707,彩虹股份,接近前低7.92,20250221
002422,科伦药业,接近前低27.1,20250217
600529,山东药玻,接近前低24.0/24.0,20250221
600305,恒顺醋业,接近前低7.37,20250221
002918,蒙娜丽莎,接近前低9.2338,20250221
600486,扬农化工,接近前低51.6197/51.7/52.42,20250221
600600,青岛啤酒,接近前低67.01,20250221
601015,陕西黑猫,接近前低3.02,20250221
600750,江中药业,接近前低21.1264/21.1645,20250221
600420,国药现代,接近前低11.2481,20250221
600511,国药股份,接近前低29.87,20250221
002353,杰瑞股份,接近前低35.25,20250217
600707,彩虹股份,接近前低7.92,20250221
002422,科伦药业,接近前低27.1,20250217
600529,山东药玻,接近前低24.0/24.0,20250221
600305,恒顺醋业,接近前低7.37,20250221
002918,蒙娜丽莎,接近前低9.2338,20250221
600486,扬农化工,接近前低51.6197/51.7/52.42,20250221
600600,青岛啤酒,接近前低67.01,20250221
600750,江中药业,接近前低21.1264/21.1645/20.8425,20250224
600511,国药股份,接近前低30.3605/29.87,20250224
002353,杰瑞股份,接近前低35.25,20250217
002422,科伦药业,接近前低27.1,20250217
603529,爱玛科技,接近前低39.06,20250224
600529,山东药玻,接近前低23.7086/23.7476/23.3592/23.7252/23.56,20250224
603505,金石资源,接近前低23.28,20250224
600660,福耀玻璃,接近前低56.4/56.85/56.55/56.6,20250224
600305,恒顺醋业,接近前低7.37,20250224
600486,扬农化工,接近前低52.42/52.11,20250224
600600,青岛啤酒,接近前低67.01,20250224
600750,江中药业,接近前低21.1264/21.1645/20.8425,20250224
600511,国药股份,接近前低30.3605/29.87,20250224
002737,葵花药业,接近前低17.6,20250224
603529,爱玛科技,接近前低39.06,20250224
000333,美的集团,接近前低69.89,20250224
000538,云南白药,接近前低55.5482/55.96/55.67,20250224
600529,山东药玻,接近前低23.7086/23.7476/23.3592/23.7252/23.56,20250224
603505,金石资源,接近前低23.28,20250224
600660,福耀玻璃,接近前低56.4/56.85/56.55/56.6,20250224
600305,恒顺醋业,接近前低7.37,20250224
000401,冀东水泥,接近前低4.85/4.77,20250224
600486,扬农化工,接近前低52.42/52.11,20250224
600600,青岛啤酒,接近前低67.01,20250224
000651,格力电器,接近前低40.51,20250224
600750,江中药业,接近前低20.8425/20.63,20250225
600420,国药现代,接近前低11.2481,20250225
600511,国药股份,接近前低29.87,20250225
601958,金钼股份,接近前低9.8707/9.87/9.92,20250225
002737,葵花药业,接近前低17.6,20250224
600707,彩虹股份,接近前低7.55,20250225
603518,锦泓集团,接近前低8.6283,20250225
603529,爱玛科技,接近前低39.61/39.06,20250225
000333,美的集团,接近前低69.89,20250224
000538,云南白药,接近前低55.5482/55.96/55.67,20250224
600529,山东药玻,接近前低23.27,20250225
603505,金石资源,接近前低23.28,20250225
600585,海螺水泥,接近前低22.2244,20250225
600660,福耀玻璃,接近前低56.4/55.54,20250225
600305,恒顺醋业,接近前低7.2026,20250225
000401,冀东水泥,接近前低4.85/4.77,20250224
600486,扬农化工,接近前低51.1379/51.6197,20250225
600600,青岛啤酒,接近前低67.01,20250225
000651,格力电器,接近前低40.51,20250224
002884,凌霄泵业,接近前低17.73,20250225
600750,江中药业,接近前低20.8425,20250226
600420,国药现代,接近前低11.2481,20250226
600511,国药股份,接近前低29.87,20250226
601958,金钼股份,接近前低9.92,20250226
002737,葵花药业,接近前低17.6,20250224
603518,锦泓集团,接近前低8.6283,20250226
603529,爱玛科技,接近前低37.7,20250226
000333,美的集团,接近前低69.89,20250224
000538,云南白药,接近前低55.5482/55.96/55.67,20250224
600529,山东药玻,接近前低23.3592/23.27,20250226
600660,福耀玻璃,接近前低55.54,20250226
600305,恒顺醋业,接近前低7.2026,20250226
000401,冀东水泥,接近前低4.85/4.77,20250224
600486,扬农化工,接近前低50.5479,20250226
600600,青岛啤酒,接近前低67.01,20250226
603288,海天味业,接近前低40.02,20250226
000651,格力电器,接近前低40.51,20250224
600511,国药股份,接近前低29.87,20250227
601958,金钼股份,接近前低9.8707/9.87/9.92,20250227
002737,葵花药业,接近前低17.6,20250224
600707,彩虹股份,接近前低7.55,20250227
603529,爱玛科技,接近前低37.7,20250227
600436,片仔癀,接近前低202.9,20250227
000333,美的集团,接近前低69.89,20250224
600584,长电科技,接近前低38.8,20250227
000538,云南白药,接近前低55.5482/55.96/55.67,20250224
600529,山东药玻,接近前低23.3592/23.27/23.56,20250227
600660,福耀玻璃,接近前低56.4/55.54/56.55/56.6,20250227
000401,冀东水泥,接近前低4.85/4.77,20250224
600486,扬农化工,接近前低49.899/50.5479,20250227
603288,海天味业,接近前低40.02,20250227
000651,格力电器,接近前低40.51,20250224
601699,潞安环能,接近前低11.97,20250228
600420,国药现代,接近前低11.2481,20250228
600511,国药股份,接近前低29.87,20250228
601958,金钼股份,接近前低9.8707/9.87/9.92,20250228
002737,葵花药业,接近前低17.6,20250224
600707,彩虹股份,接近前低7.55,20250228
000333,美的集团,接近前低69.89,20250224
600584,长电科技,接近前低37.5/37.51,20250228
000538,云南白药,接近前低55.5482/55.96/55.67,20250224
600529,山东药玻,接近前低23.3592/23.27,20250228
600660,福耀玻璃,接近前低56.4/55.54/56.55,20250228
000401,冀东水泥,接近前低4.85/4.77,20250224
600486,扬农化工,接近前低51.1379/50.5479,20250228
000651,格力电器,接近前低40.51,20250224
002884,凌霄泵业,接近前低17.33/17.4,20250228
600257,大湖股份,接近前低4.65,20250303
601699,潞安环能,接近前低11.97,20250303
600420,国药现代,接近前低11.2481/11.15,20250303
601958,金钼股份,接近前低9.8707/9.87/9.92,20250303
600707,彩虹股份,接近前低7.55,20250303
002959,小熊电器,接近前低41.5/41.6/41.65/41.81,20250303
600584,长电科技,接近前低36.82,20250303
