code,name,profits_2017,profits_2018,profits_2019,profits_2020,profits_2021
300973,立高食品,43.9942,52.3086,181.3982,232.0951,283.1026
688082,盛美上海,10.8606,92.5304,134.8873,196.7699,266.2482
300994,久祺股份,32.5459,51.6219,101.9872,156.7514,205.2063
688059,华锐精密,31.2838,54.1613,71.8119,89.0049,162.3531
688668,鼎通科技,30.1321,45.725,53.9381,72.7324,109.3804
688698,伟创电气,31.6083,35.2808,57.5538,87.5555,126.7449
301155,海力风电,30.0762,35.4546,172.7207,615.4345,1112.6823
301108,洁雅股份,25.682,57.6326,68.1227,179.6349,220.0484
688690,纳微科技,12.235999999999999,14.6599,23.4261,72.6928,188.0897
688236,春立医疗,68.28399999999999,105.6461,236.7614,283.3733,322.3607
688227,品高股份,16.8033,23.0998,35.7747,50.4066,55.6189
688766,普冉股份,3.7179,13.3737,32.3208,85.3497,291.1506
301038,深水规院,44.9919,51.6139,70.5759,93.4611,106.1379
688386,泛亚微透,21.6194,30.5889,43.7373,55.2713,66.3982
301048,金鹰重工,83.8487,100.4371,168.9374,187.7158,241.4991
688308,欧科亿,44.5797,67.0949,88.4378,107.4486,222.2223
688613,奥精医疗,23.531999999999996,32.985,67.7849,88.9583,120.7826
001208,华菱线缆,28.7563,53.8983,75.9213,93.6287,134.5679
300919,中伟股份,18.2333,63.1339,179.827,420.1594,938.9521
688621,阳光诺和,1.9805,20.7175,47.4007,72.4649,105.6624
688655,迅捷兴,10.9863,32.1784,36.1005,56.5248,64.0753
688767,博拓生物,4.0312,18.9067,28.2284,435.1467,833.5906
688119,中钢洛耐,10.0788,96.8644,134.687,196.8023,224.3055
301175,中科环保,16.4836,66.0511,96.3431,133.0292,172.497
