code,name,income_2017,income_2018,income_2019,income_2020,income_2021
601877,正泰电器,23416.55,27420.8327,30225.9063,33253.0621,38864.6236
300014,亿纬锂能,2982.3048,4351.1906,6411.6416,8161.8062,16899.8041
002352,顺丰控股,71094.297,90942.6942,112193.3961,153986.8701,207186.647
300012,华测检测,2118.2305,2680.8812,3183.2557,3567.7128,4329.0886
300026,红日药业,3374.0190000000002,4223.9647,5002.9385,6488.1159,7670.525
300019,硅宝科技,728.2306,870.573,1018.035,1523.634,2555.6797
300059,东方财富,1112.3371,1309.5807,1478.0410000000002,3252.2883,5404.805
002300,太阳电缆,4094.6446,5104.6121,6974.8651,7941.4601,11224.7468
002282,博深股份,592.0102,1054.0386,1168.2171,1292.338,1583.4249
688122,西部超导,948.1658,1088.3905,1446.1074,2112.833,2927.2188
300015,爱尔眼科,5962.8456,8008.5740000000005,9990.104,11912.41,15000.8094
002342,巨力索具,1415.9411,1685.1401,1965.9541,2214.7023,2465.9043
601618,中国中冶,243999.86399999997,289534.523,338637.609,400114.62299999996,500571.64700000006
300122,智飞生物,1342.5686,5228.3077,10587.3183,15190.3662,30652.4159
002415,海康威视,41905.4766,49837.1325,57658.1101,63503.4509,81420.0535
300305,裕兴股份,590.5162,738.4814,874.5603,1000.2113,1365.1264
300124,汇川技术,4777.2957,5874.3578,7390.3709,11511.3168,17943.2566
300146,汤臣倍健,3110.7954,4350.7756,5261.7994,6094.9009,7431.2781
002410,广联达,2339.7276,2861.5553,3464.1514,3947.083,5562.2164
300149,睿智医药,275.3536,996.9153,1327.8261,1481.5919,1690.6779
601012,隆基绿能,16362.2845,21987.6149,32897.4554,54583.1836,80932.2511
300142,沃森生物,668.2648,879.0447,1121.2203,2939.0212,3462.8311
300171,东富龙,1724.8792,1916.8219,2264.0043,2707.6882,4192.4211
002368,太极股份,5299.5885,6016.0984,7062.735,8532.6096,10504.8783
002398,垒知集团,1997.6557,2715.6994,3393.5231,3870.7373,4917.7513
300253,卫宁健康,1203.7563,1438.7613,1908.0079,2266.5798,2750.2021
002392,北京利尔,2277.2007,3196.9196,3742.4069,4310.8265,4910.7499
300092,科新机电,333.6371,475.5386,594.3225,735.1608,948.137
002438,江苏神通,755.6614,1087.464,1348.2206,1585.5517,1909.7238
002402,和而泰,1978.5679,2671.1111,3649.3831,4665.6772,5985.847
002409,雅克科技,1132.9221,1547.3987,1832.3852,2273.032,3782.3099
002444,巨星科技,4280.6101,5934.6737,6625.4641,8544.4402,10919.6833
002439,启明星辰,2278.5253,2521.8058,3089.4955,3646.7453,4386.0308
002364,中恒电气,866.1094,984.0825,1173.6021,1433.4952,1818.8727
002541,鸿路钢构,5032.8552,7874.4939,10754.9184,13450.9259,19514.8099
002533,金杯电工,3961.3643,4738.9393,5844.3174,7796.1497,12832.3142
002384,东山精密,15389.5656,19825.42,23552.8251,28093.4094,31793.1479
002498,汉缆股份,4744.9899,5568.1838,6179.6088,6951.7687,8981.293
002387,维信诺,31.7275,1778.1522,2689.5592,3434.3311,4544.4706
300223,北京君正,184.467,259.6701,339.3512,2169.8011,5274.0591
002511,中顺洁柔,4638.3496,5678.5176,6634.9144,7823.5284,9149.8705
002522,浙江众成,635.0857,1048.7803,1245.8107,1449.4981,1795.9702
002475,立讯精密,22826.0998,35849.9642,62516.3146,92501.2592,153946.0978
601369,陕鼓动力,3957.9028,5038.8356,7303.9683,8064.929,10360.9153
300143,盈康生命,329.2296,504.0244,572.9364,661.0544,1089.8675
600998,九州通,73942.8944,87136.3586,99497.0774,110859.5141,122407.43400000001
300272,开能健康,707.5016,901.0228,1052.5255,1181.1216,1511.4874
601985,中国核电,33589.9089,39305.4023,46067.1551,52276.452000000005,62367.2175
601225,陕西煤业,50927.002,57223.725999999995,73403.4431,94860.2723,152266.4232
300755,华致酒行,2406.5184,2720.8042,3737.8884,4941.4416,7459.9951
300316,晶盛机电,1948.8482,2535.7115,3109.7428,3810.6797,5961.3595
601100,恒立液压,2795.2116,4210.9754,5414.022,7855.0384,9309.2181
300358,楚天科技,1280.4161,1631.7906,1915.9662,3576.2134,5259.8730000000005
300298,三诺生物,1033.0077,1550.5134,1778.2093,2015.2141,2361.3081
002595,豪迈科技,2994.9255,3724.4057,4387.0561,5294.4804,6008.3306
300846,首都在线,481.5001,603.1105,739.059,1008.5504,1220.3712
300286,安科瑞,405.3796,457.8338,600.2083,718.7479,1016.9828
300280,紫天科技,361.585,668.5519,861.3174,1415.7289,1650.1804
300244,迪安诊断,5004.1242,6966.8574,8453.207,10649.1618,13082.6132
300346,南大光电,177.2135,228.1749,321.3758,594.9585,984.4463
300285,国瓷材料,1217.6197,1797.7772,2153.0794,2542.2574,3161.7388
002605,姚记科技,662.6348,943.7153,1736.5959,2561.8958,3807.2487
300327,中颖电子,685.7248,757.7105,834.1472,1012.2560000000001,1493.9077
002603,以岭药业,4081.2667,4814.5578,5825.2945,8782.4797,10116.7939
002831,裕同科技,6947.7407,8578.2438,9844.875,11788.9371,14850.1276
605099,共创草坪,1239.3783,1397.6761,1553.5418,1850.2883,2301.6603
002641,公元股份,4569.7211,5353.7765,6290.6063,7036.3005,8880.9663
002649,博彦科技,2250.4981,2882.9632,3687.6459999999997,4309.9684,5532.4488
002675,东诚药业,1595.6011,2332.8229,2992.761,3418.9775,3912.05
002645,华宏科技,1299.943,1915.9181,2161.3404,3375.6877,6776.8288
002911,佛燃能源,4292.2295,5094.2975,6426.8832,7514.5731,13531.1775
002579,中京电子,1076.5532,1761.3372,2098.7748,2339.6578,2944.8275
002701,奥瑞金,7342.3759,8175.3883,9369.1625,10561.0127,13884.9803
603359,东珠生态,1224.3766,1593.7941,2016.6892,2337.9076,2710.7491
002799,环球印务,438.2115,555.1243,1247.3416,1875.3422,2936.3048
002916,深南电路,5686.9394,7602.1417,10524.1969,11600.457,13942.5219
601669,中国电建,266090.4318,294677.9445,347712.7011,401180.655,448325.4906
002669,康达新材,549.9623,928.3258,1066.0744,1932.1355,2271.613
002585,双星新材,3022.9552,3857.5653,4472.3067,5061.3138,5931.2053
300207,欣旺达,14044.8825,20338.3019,25240.6579,29692.3079,37358.7235
300255,常山药业,1420.1614,1652.6339,2071.4798,2363.7859,2968.0508
300402,宝色股份,440.0582,713.8345,917.0506,1092.0626,1256.6422
603799,华友钴业,9653.2227,14450.763,18852.8285,21186.843999999997,35316.549
300274,阳光电源,8886.0601,10368.931999999999,13003.3318,19285.6413,24136.5987
601231,环旭电子,29705.685,33550.275,37204.1884,47696.2282,55299.6548
002946,新乳业,4421.8153,4971.9538,5674.9537,6748.6319,8966.8724
601615,明阳智能,5298.1989,6902.1472,10493.157,22456.9874,27158.0484
300371,汇中股份,246.669,279.7654,360.2637,425.2103,523.5365
688318,财富趋势,169.195,195.1826,225.7692,273.2461,326.3177
603008,喜临门,3187.3579,4210.9345,4871.3983,5623.291,7771.8397
002714,牧原股份,10042.4159,13388.1577,20221.3325,56277.0656,78889.8706
002727,一心堂,7751.1394,9176.2697,10479.0931,12656.2843,14587.4013
300385,雪浪环境,818.0354,959.7256,1242.5297,1487.9496,1812.4938
002698,博实股份,788.0729,915.5749,1459.7411,1827.9129,2112.9548
603609,禾丰股份,13695.8435,15750.7981,17792.092,23817.6008,29468.9259
300379,东方通,292.7864,372.0523,499.9699,640.3378,863.1607
603126,中材节能,1683.9114,1873.5814,2273.1188,2597.0262,2940.8435
002724,海洋王,1096.9557,1253.1965,1494.5807,1704.3029999999999,2112.6177
300347,泰格医药,1687.0335,2300.6597,2803.3093,3192.2785,5213.5381
688789,宏华数科,282.878,472.7597,591.2338,715.8707,943.1060000000001
600927,永安期货,9684.1489,15915.413,22935.2274,25469.3076,37841.5182
688262,国芯科技,130.8833,194.7752,231.5703,261.6063,407.3868
300747,锐科激光,951.8272,1462.0266,2010.1592,2316.6425,3409.5797
301206,三元生物,118.7206,286.2726,475.7262,783.1822,1675.32
003816,中国广核,45637.9645,50827.9192,60875.1763,70584.7106,80678.7448
300500,启迪设计,508.1594,1093.7281,1254.2861,1849.9299,2301.2531
300494,盛天网络,388.3694,494.7187,654.7434,895.8767,1220.8298
002749,国光股份,737.3231,865.4197,1014.2807,1160.0433,1358.4792
603816,顾家家居,6665.444,9172.118,11093.5931,12665.9907,18341.9523
300474,景嘉微,306.2459,397.2179,530.7872,653.7721,1093.2005
603416,信捷电气,483.5734,590.3802,649.6416,1134.3924,1299.3332
002960,青鸟消防,1474.8048,1777.029,2271.0956,2524.6216,3863.393
603039,ST泛微,704.2177,1003.6008,1286.0344,1482.3952,2002.8632
688133,泰坦科技,664.1858,925.6113,1144.0969,1384.4847,2164.2384
002979,雷赛智能,535.4651,596.5078,663.2639999999999,946.4263,1203.1582
603658,安图生物,1400.142,1929.6760000000002,2679.4356,2978.1316,3765.917
603228,景旺电子,4192.0178,4985.5591,6332.1228,7063.5889,9532.4225
603313,梦百合,2338.8036,3049.4734,3831.5883,6530.1343,8139.2546
603060,国检集团,752.4089,937.3075,1107.2799,1472.7716,2216.9837
300529,健帆生物,718.4911,1016.5088,1431.8194,1950.7805,2675.4545
300558,贝达药业,1026.3587,1224.1718,1553.9243,1870.2663,2245.8556
300538,同益股份,1010.1084,1295.6121,1787.3533,2216.5132,2918.3663
300394,天孚通信,337.9924,442.8891,522.9309,873.4492,1032.393
002837,英维克,786.9874,1070.3533,1337.5449,1703.3358,2228.2209
300435,中泰股份,485.5799,594.7323,1034.3302,1977.5002,2406.9974
603966,法兰泰克,636.6077,763.7318,1105.8577,1260.8438,1588.9894
002777,久远银海,690.448,864.1388,1016.3788,1153.5408,1305.9072
688196,卓越新能,872.877,1017.5360000000001,1294.528,1598.3979,3083.492
603010,万盛股份,1473.1745,1732.8936,1929.6023,2329.9275,4114.6035
300560,中富通,390.1258,548.3614,713.6601,793.944,976.9267
300453,三鑫医疗,403.8719,531.3024,721.6681,940.3856,1164.2888
